Coin Name,Symbol,Launch Date,Token Address,Current Price (USD),Market Cap (USD),Trading Volume (24h),Circulating Supply,Total Supply,Price Change (24h),All-Time High (Price),All-Time Low (Price),Number of Holders,Transactions Count,Token Liquidity (USD),Returns (%)
PugInu,$LOL,2022-04-22,addr704,0.002,427013,8839,100783046,123270437,8.0,0.017,0.0012,5159,35746,38118,1316.67
PugInu,$CHEEMS,2023-01-05,addr578,0.0092,430895,44720,171197444,191291780,8.59,0.0098,0.0075,7540,29736,37991,30.67
FlokiSol,$INUSPARK,2023-08-01,addr184,0.0031,310233,9014,78508537,246303729,13.22,0.0197,0.0062,5632,38124,17764,217.74
SolCheems,$SOLDOG,2023-01-05,addr265,0.0058,174731,14964,155895003,84434012,-0.58,0.0127,0.001,5101,30954,38462,1170.0
PugInu,$GIGGLE,2022-08-15,addr52,0.0081,482734,35383,183106485,188203203,-4.83,0.0177,0.0013,14551,46395,14674,1261.54
MoonPug,$PEPE,2023-03-14,addr403,0.0043,86783,48643,97457685,193924842,-6.8,0.0096,0.0048,7018,48639,72587,100.0
SolCheems,$JOKESOL,2023-08-01,addr202,0.0053,208697,17357,168396354,145043684,-7.99,0.0017,0.0005,9026,36979,54395,240.0
PugInu,$MEMEFLARE,2023-07-10,addr537,0.01,375883,19852,62419798,149322812,-7.87,0.0019,0.0002,6489,18929,18601,850.0
SolDog,$PUGINU,2023-03-30,addr297,0.0046,54791,31521,169952581,191156037,-7.18,0.0038,0.0002,7945,31060,89940,1800.0
FlokiSol,$MOONPUG,2023-01-05,addr791,0.0065,280132,6377,59122212,161554095,16.47,0.0016,0.0093,5367,11105,33706,-82.8
ShibaLight,$MOONPUG,2021-04-05,addr423,0.0041,237902,34471,110902159,266474877,14.22,0.0029,0.0072,9551,24277,67799,-59.72
MeowInu,$GIGGLE,2022-04-22,addr429,0.0002,327182,16528,180286694,93845847,12.15,0.0196,0.0003,7518,37511,48670,6433.33
SolDog,$FLOKI,2023-03-30,addr986,0.0094,197507,45910,130458305,277096079,11.14,0.003,0.0022,14716,6045,86244,36.36
PugInu,$WOOFSOL,2023-04-10,addr58,0.0015,282663,39047,167141670,151597522,-6.66,0.0149,0.0045,6660,34659,48785,231.11
FlokiSol,$PEPE,2023-03-30,addr376,0.0006,496123,24370,169948697,66114690,-5.1,0.01,0.0048,9536,42844,47802,108.33
WoofSol,$PEPE,2023-06-15,addr665,0.0061,445846,6289,123531910,156495074,-5.76,0.0023,0.0007,8712,16056,18801,228.57
FlokiSol,$MOONPUG,2023-09-05,addr185,0.0019,193538,39043,167219926,226451529,13.28,0.003,0.0026,4097,22475,95258,15.38
MeowInu,$SOLDOG,2023-01-05,addr580,0.0018,152495,33655,92175648,253123840,9.34,0.0045,0.0096,3873,22236,93492,-53.12
FlokiSol,$SWOLEDOGE,2023-01-05,addr363,0.0099,50085,23939,149257456,244284517,16.03,0.0022,0.0091,8186,7870,59675,-75.82
FlokiSol,$SOLDOG,2023-08-20,addr95,0.0041,395780,39604,163482074,89064817,5.84,0.0099,0.0011,14237,28746,12914,800.0
WoofSol,$SWOLEDOGE,2023-05-20,addr892,0.0061,335863,24134,157013306,79639485,18.72,0.0048,0.0098,10460,33087,81625,-51.02
MeowInu,$SHIBALIGHT,2022-08-15,addr8,0.006,392363,36436,137587459,72931457,3.13,0.0035,0.0017,6080,46303,92559,105.88
WoofSol,$SOLDOG,2022-11-20,addr283,0.0031,201175,23291,105556049,113288427,-9.01,0.0022,0.0022,8523,15170,54203,0.0
PugInu,$PEPE,2023-09-05,addr788,0.0095,52772,15532,59482987,165380701,1.97,0.006,0.0092,8920,17384,64470,-34.78
ShibaLight,$PEPE,2023-02-12,addr690,0.0003,420962,41430,179147726,75140359,-4.12,0.0083,0.0017,9937,49471,52381,388.24
MoonPug,$CHEEMS,2023-02-12,addr473,0.0079,481148,28766,181019716,131765050,-2.27,0.0131,0.0043,11501,36663,79517,204.65
FlokiSol,$JOKESOL,2023-08-01,addr995,0.0053,87363,20234,81109106,85605345,-9.65,0.0187,0.0096,8234,6348,80563,94.79
MoonPug,$MOONPUG,2023-06-15,addr236,0.0032,124787,31484,197036875,95659405,7.19,0.0197,0.0032,7900,40082,18385,515.62
MeowInu,$LOL,2023-06-15,addr473,0.0061,117142,22769,195550661,212153486,-7.26,0.0092,0.0059,7374,12542,75370,55.93
SolCheems,$DOGESUN,2023-01-05,addr223,0.0078,468734,17486,110887459,248692654,14.57,0.0021,0.0034,12209,46774,80135,-38.24
SolDog,$PEPEMOON,2023-02-12,addr153,0.0061,269190,32197,71616674,108348022,14.41,0.0119,0.0099,13011,22626,19784,20.2
SwoleDoge,$GIGGLE,2023-07-10,addr100,0.0065,428064,8888,162064188,244039641,18.32,0.0044,0.0085,3005,10841,55715,-48.24
ChadCoin,$MEOW,2022-11-20,addr787,0.0014,262473,46839,124456578,217346714,-5.41,0.0053,0.0084,5255,24245,77616,-36.9
GiggleToken,$GIGGLE,2022-09-10,addr289,0.0083,70348,49853,122318755,160301101,19.82,0.015,0.0064,6504,44131,74073,134.38
MemeFlare,$JOKESOL,2022-12-25,addr106,0.0022,443459,31761,136252181,56971187,19.79,0.0071,0.0057,3850,7035,17379,24.56
ShibaLight,$SHIBA,2023-08-20,addr142,0.0052,240204,5339,122261744,293763178,-0.42,0.0157,0.0022,11419,22467,55695,613.64
ChadCoin,$JOKESOL,2023-06-15,addr93,0.0015,348615,46682,168480055,248065745,15.4,0.0102,0.0089,12042,34515,22750,14.61
PugInu,$PUGINU,2022-08-15,addr602,0.0088,253963,23339,175646966,141903229,12.1,0.0175,0.0058,5273,22781,23698,201.72
InuSpark,$MOONPUG,2022-08-15,addr957,0.0025,372392,38455,128673851,97135525,-7.41,0.0072,0.0017,10312,37863,51038,323.53
LOLToken,$WOOFSOL,2023-05-20,addr679,0.0067,246113,18265,105741487,286774963,14.63,0.0176,0.0086,13973,29742,45575,104.65
MeowInu,$LOL,2022-06-25,addr990,0.0095,377460,49445,128020377,134261111,-6.05,0.0152,0.0099,4332,39135,38550,53.54
WoofSol,$JOKESOL,2023-06-15,addr756,0.0083,53715,42715,199508648,115756294,10.61,0.0121,0.0043,8205,25056,54143,181.4
WoofSol,$DOGESUN,2022-06-25,addr738,0.0088,109550,23475,194900283,273628983,10.73,0.0134,0.0089,14466,31722,24530,50.56
MoonWag,$SHIBA,2022-04-22,addr788,0.0029,226088,20898,186335684,206401801,18.95,0.012,0.006,10882,45845,53611,100.0
MemeFlare,$GIGGLE,2023-05-20,addr817,0.002,78002,19569,67246542,217681437,4.6,0.0038,0.003,8932,40503,63710,26.67
ChadCoin,$PEPE,2022-06-25,addr225,0.0051,371182,12414,69427880,230234379,6.57,0.0113,0.0004,6797,18032,56718,2725.0
MemeFlare,$PEPEMOON,2022-09-10,addr156,0.0011,388817,22239,85766439,160305397,-8.02,0.0103,0.0043,12378,39625,62444,139.53
FlokiSol,$SHIBALIGHT,2022-06-25,addr703,0.0088,108017,12322,107817870,213880554,-6.41,0.015,0.0049,8425,16637,84638,206.12
ShibaSol,$LOL,2021-04-05,addr831,0.0008,93458,6466,153555636,209467884,0.7,0.0169,0.0005,9593,49551,77493,3280.0
SolCheems,$SHIBALIGHT,2023-01-18,addr658,0.0071,198303,38153,101140520,224519780,-9.26,0.0025,0.0087,7897,26819,14473,-71.26
FlokiSol,$FLOKI,2023-04-10,addr53,0.0054,417939,39404,90094657,248420018,15.44,0.0083,0.0035,5756,29828,85115,137.14
PugInu,$SHIBALIGHT,2023-01-05,addr489,0.0024,348116,25034,82008167,190262025,-8.65,0.016,0.0038,11927,22518,43332,321.05
GiggleToken,$PEPE,2023-06-15,addr712,0.0081,398122,34600,75071456,61722428,10.63,0.0107,0.0089,7972,28225,60160,20.22
MoonWag,$PEPE,2023-01-18,addr629,0.0061,339571,14185,65829282,237063002,7.95,0.0064,0.0003,9259,24242,10619,2033.33
InuSpark,$JOKESOL,2023-01-05,addr151,0.0004,225159,25385,106999230,185674803,11.6,0.0013,0.0082,9281,29241,81188,-84.15
MoonWag,$INUSPARK,2023-04-10,addr575,0.0077,489770,7127,198208266,243948738,4.46,0.0156,0.0028,4377,43204,92294,457.14
MeowInu,$JOKESOL,2023-07-10,addr702,0.0033,112849,11889,55543401,123394218,-0.35,0.0025,0.0089,3313,33073,48249,-71.91
FlokiSol,$CHAD,2022-12-25,addr895,0.0085,382269,24105,69217614,238453433,15.93,0.0109,0.0076,14728,40397,79390,43.42
PugInu,$MEOW,2021-04-05,addr640,0.0079,448890,22989,106453780,120364934,-0.32,0.0061,0.0026,14287,11417,27633,134.62
JokeSol,$GIGGLE,2023-06-15,addr527,0.0035,153038,18551,182592663,235701721,3.34,0.0165,0.009,7536,26991,35669,83.33
LOLToken,$JOKESOL,2023-06-15,addr825,0.0039,248774,46569,114383738,66934452,7.49,0.015,0.0039,3876,17279,58537,284.62
ShibaLight,$PEPE,2023-09-05,addr458,0.0087,307507,13220,175164481,198156505,6.89,0.0031,0.0038,3690,47532,30595,-18.42
DogeSun,$PEPE,2023-05-20,addr294,0.0035,159792,10390,68379376,172853289,-3.35,0.006,0.008,3804,16184,59283,-25.0
PepeMoon,$MEMEFLARE,2023-02-12,addr812,0.0077,219848,42326,152481371,214655936,11.56,0.0027,0.0052,9024,32411,29989,-48.08
MoonWag,$GIGGLE,2023-08-20,addr89,0.0061,283362,15129,94124907,256354923,12.92,0.0182,0.0003,4217,19995,90796,5966.67
MeowInu,$JOKESOL,2022-09-10,addr429,0.0079,94808,7254,177671122,60669126,18.06,0.019,0.0081,14955,14635,17203,134.57
DogeSun,$SWOLEDOGE,2023-07-10,addr737,0.0095,343371,33422,81477376,244955387,-9.43,0.0153,0.0041,12044,9500,98521,273.17
DogeSun,$SHIBA,2023-01-05,addr782,0.0028,240435,47400,166402512,156708076,11.44,0.0025,0.0037,9002,12519,68386,-32.43
LOLToken,$DOGESUN,2022-12-25,addr190,0.0038,203665,24189,169779757,147768765,9.13,0.0037,0.003,10965,11188,72865,23.33
MemeFlare,$PUGINU,2022-04-22,addr138,0.0012,499537,27822,89633914,117340434,-5.6,0.0123,0.0009,4437,20364,60007,1266.67
MoonPug,$PEPEMOON,2023-06-15,addr63,0.0009,368432,39033,124597177,76247121,-5.33,0.0022,0.0092,7317,29673,98661,-76.09
LOLToken,$DOGESUN,2023-01-18,addr824,0.0079,181865,25268,111189691,173477555,7.6,0.008,0.0078,9336,29147,35918,2.56
SolCheems,$SOLDOG,2022-08-15,addr964,0.0079,112193,26126,52004148,94242698,5.7,0.004,0.0067,10141,31657,42429,-40.3
SwoleDoge,$SHIBALIGHT,2023-02-12,addr933,0.0077,469518,5518,178559215,285209625,15.64,0.0196,0.0098,7038,28379,94476,100.0
PepeMoon,$PEPEMOON,2022-11-20,addr475,0.0053,74165,5829,165888576,118003916,-9.14,0.0037,0.0075,13512,45759,83625,-50.67
SwoleDoge,$PUGINU,2022-09-10,addr117,0.0046,474715,40397,56410077,180676141,12.4,0.0167,0.0054,8633,30936,94984,209.26
MoonPug,$SHIBALIGHT,2022-08-15,addr782,0.0028,302824,41074,114658373,234858071,15.16,0.0134,0.0027,14813,43249,31046,396.3
DogeSun,$PEPEMOON,2023-08-20,addr798,0.0092,454818,49077,186619977,172659910,12.48,0.0095,0.0012,10587,15116,11249,691.67
SolDog,$SHIBALIGHT,2022-06-25,addr688,0.008,352044,43648,95446724,206312262,-9.35,0.0187,0.0049,8363,9035,59337,281.63
JokeSol,$CHAD,2021-04-05,addr698,0.0082,433957,12854,136895031,202990420,-9.36,0.0097,0.0022,11447,13543,93350,340.91
WoofSol,$SHIBALIGHT,2022-06-25,addr126,0.005,266924,38326,102089438,275888560,-9.19,0.0147,0.0057,14212,8373,54884,157.89
DogeSun,$INUSPARK,2022-11-20,addr585,0.001,170848,13558,158776597,273791573,10.07,0.014,0.0089,13286,27103,15080,57.3
SwoleDoge,$FLOKI,2022-12-25,addr575,0.0061,495514,8719,133934971,50140363,4.13,0.01,0.0058,9653,31677,21930,72.41
MeowInu,$PEPE,2023-01-18,addr4,0.0008,331356,15229,85407114,230962324,16.5,0.0161,0.0036,4255,39091,32987,347.22
MoonPug,$PUGINU,2023-01-05,addr485,0.0004,466739,42827,187924468,172930530,18.75,0.0185,0.0089,5724,49306,76733,107.87
MeowInu,$PEPE,2023-01-05,addr963,0.006,451789,44313,101541551,277049975,18.38,0.0049,0.0032,14544,11063,67729,53.12
DogeSun,$LOL,2022-11-20,addr294,0.0004,143297,19050,160588335,96468829,2.91,0.0029,0.0084,7532,47285,98220,-65.48
WoofSol,$FLOKI,2023-08-20,addr938,0.0055,469801,21488,170561827,97843507,16.05,0.0097,0.0041,11884,22500,18947,136.59
ShibaSol,$JOKESOL,2023-05-20,addr686,0.0095,180383,10016,190732351,57121274,1.18,0.0121,0.0033,7825,40991,91037,266.67
ChadCoin,$FLOKI,2022-12-15,addr355,0.0095,351700,12195,81508905,262824599,3.12,0.0195,0.0089,5114,25653,67643,119.1
MeowInu,$SHIBALIGHT,2022-12-25,addr979,0.0048,91314,40632,163323771,103036770,-7.64,0.0036,0.0008,10085,16528,30722,350.0
JokeSol,$SWOLEDOGE,2022-12-15,addr154,0.0058,332707,34989,174949249,53382107,-1.14,0.0023,0.0072,12322,12558,77009,-68.06
SwoleDoge,$SHIBA,2023-02-12,addr895,0.0075,410790,8091,118291485,143392881,5.88,0.0155,0.0062,6164,12083,81922,150.0
PepeSol,$PUGINU,2023-01-05,addr507,0.0023,311168,11017,120783845,135707836,15.28,0.0167,0.0049,12875,42080,12054,240.82
WoofSol,$MEMEFLARE,2023-03-14,addr609,0.0086,280250,8287,94494653,76988287,-7.88,0.0151,0.0091,9848,47787,37353,65.93
WoofSol,$MOONPUG,2022-09-10,addr17,0.0052,247283,24460,167612067,115652125,-7.96,0.017,0.0065,9110,19871,58152,161.54
FlokiSol,$JOKESOL,2022-12-25,addr1,0.0084,365827,21231,158592141,113769518,11.49,0.0174,0.0077,11244,45444,26865,125.97
SolCheems,$PUGINU,2023-09-05,addr639,0.0052,197007,34041,95162565,162788502,17.44,0.0035,0.0078,5421,18031,72649,-55.13
SolCheems,$PUGINU,2022-06-25,addr980,0.0019,345067,15917,129990961,91903562,7.26,0.0179,0.0018,9348,15547,15452,894.44
MeowInu,$WOOFSOL,2023-01-18,addr526,0.0007,378977,21460,136077916,291318373,14.12,0.01,0.0085,13761,42937,93518,17.65
GiggleToken,$MOONPUG,2023-09-05,addr607,0.003,117159,27405,112205716,148663481,15.93,0.011,0.0062,6579,17318,44275,77.42
PepeSol,$MOONWAG,2023-08-20,addr271,0.0009,476980,33189,108191763,286764600,18.83,0.0099,0.0054,14994,42856,37113,83.33
ShibaLight,$JOKESOL,2021-04-05,addr143,0.0096,441896,47120,88449894,183983051,8.28,0.013,0.0009,11434,11121,46038,1344.44
MeowInu,$SHIBALIGHT,2023-07-10,addr720,0.0068,409073,23869,102592160,245704091,-7.85,0.0017,0.0027,10281,13309,62948,-37.04
GiggleToken,$GIGGLE,2023-01-05,addr739,0.0099,347782,35776,65899361,130171857,6.52,0.0157,0.0083,10381,29083,52962,89.16
SolDog,$PEPE,2023-08-20,addr606,0.0074,86221,22277,184671680,222081564,2.34,0.0048,0.0075,4081,6678,11932,-36.0
MeowInu,$WOOFSOL,2023-05-20,addr701,0.0021,450463,32057,131683042,217624239,16.77,0.0169,0.0089,10926,48090,12400,89.89
ShibaLight,$MOONPUG,2023-01-18,addr135,0.004,288435,44655,176236081,110509379,2.26,0.0169,0.0026,3614,12477,75472,550.0
MemeFlare,$PEPE,2023-06-15,addr66,0.0025,316073,12881,120881436,219429484,-5.58,0.0141,0.0045,3310,41711,24133,213.33
SolDog,$MOONPUG,2023-04-10,addr130,0.003,197249,48192,119216210,62388177,19.07,0.0072,0.0018,13340,31052,88851,300.0
LOLToken,$GIGGLE,2022-11-20,addr474,0.0085,118798,44956,162461907,122941906,17.81,0.019,0.0078,7445,9864,36547,143.59
WoofSol,$PEPEMOON,2023-01-18,addr986,0.0065,275127,49937,197576149,100363625,7.28,0.0115,0.008,5646,39574,55940,43.75
PepeMoon,$JOKESOL,2023-07-10,addr312,0.0003,458616,17838,174443854,112325237,5.35,0.0053,0.0059,3380,33050,18553,-10.17
PepeSol,$INUSPARK,2023-02-12,addr771,0.0051,330239,37618,78620175,74910108,-9.11,0.0042,0.0006,7040,45564,73035,600.0
MemeFlare,$MOONPUG,2023-08-20,addr891,0.0045,75171,14201,190230885,198591673,1.11,0.0197,0.0071,7305,49446,70689,177.46
SolCheems,$MEMEFLARE,2023-06-15,addr984,0.0099,381394,49390,177258619,249434763,4.68,0.0076,0.0033,14634,25874,52996,130.3
MoonPug,$SWOLEDOGE,2022-12-15,addr447,0.0076,99579,21151,69581594,166514566,13.86,0.0044,0.0086,6444,18740,89415,-48.84
JokeSol,$MOONPUG,2022-04-22,addr382,0.0007,233111,47841,51859198,263801746,-2.75,0.0036,0.0079,14147,33231,83662,-54.43
PepeMoon,$DOGESUN,2022-12-25,addr619,0.0049,333095,36525,110191627,256450653,5.46,0.0064,0.0027,8675,23935,56998,137.04
SwoleDoge,$INUSPARK,2022-12-15,addr270,0.0083,454333,32971,60102549,272744814,9.59,0.0036,0.0022,7682,19735,49740,63.64
DogeSun,$CHAD,2023-01-18,addr180,0.0079,172028,44015,192283450,282850344,0.34,0.0098,0.0058,6367,39530,28999,68.97
MoonPug,$WOOFSOL,2023-05-20,addr197,0.0078,84670,33966,50981455,220268141,-3.52,0.0102,0.0091,4822,41539,60828,12.09
MemeFlare,$CHEEMS,2023-03-14,addr982,0.0001,285103,25429,114135872,63261090,-4.36,0.0154,0.0084,4945,41453,39464,83.33
ChadCoin,$SOLDOG,2022-12-15,addr32,0.0074,248675,32836,170653093,290603317,10.69,0.0188,0.0007,4139,18796,26313,2585.71
PugInu,$SHIBA,2022-09-10,addr264,0.0083,134754,16481,146805753,214799681,-2.29,0.0128,0.0048,4967,45714,44923,166.67
PepeSol,$SHIBA,2023-03-30,addr726,0.0024,422703,9523,62391127,243159858,16.22,0.0103,0.0014,8811,13961,47985,635.71
ChadCoin,$SHIBA,2023-01-18,addr686,0.0041,449070,17792,189015667,175265173,-1.3,0.0122,0.0021,5937,28474,44736,480.95
LOLToken,$MOONPUG,2023-06-15,addr460,0.0023,475897,32981,114037826,92605960,9.72,0.0096,0.0083,14199,23255,53480,15.66
PepeMoon,$MOONWAG,2022-12-15,addr333,0.004,462545,8669,52246222,269757908,2.37,0.0094,0.0037,11675,15698,71129,154.05
JokeSol,$PEPEMOON,2022-12-15,addr690,0.0087,396566,22905,83948683,91260156,16.08,0.0141,0.0076,6044,42932,61768,85.53
PepeMoon,$MEMEFLARE,2023-09-05,addr97,0.001,245619,27554,156196978,246355078,-8.07,0.0069,0.005,12967,34481,75585,38.0
PepeSol,$PEPEMOON,2022-09-10,addr89,0.0008,469018,30220,181140127,101438118,10.06,0.0058,0.0072,4356,33217,58740,-19.44
WoofSol,$MEMEFLARE,2023-03-30,addr545,0.0089,421166,22864,188350799,94061206,-8.09,0.0163,0.0047,7394,6963,20847,246.81
MoonPug,$GIGGLE,2023-08-20,addr414,0.0044,387448,27069,163910703,63267475,2.81,0.003,0.0002,6843,13570,12069,1400.0
SolDog,$SOLDOG,2023-02-12,addr924,0.0094,367134,17574,108799790,195847621,0.26,0.013,0.0071,7485,9770,19924,83.1
MemeFlare,$PEPE,2023-07-10,addr384,0.0017,113463,24610,100204825,272684047,1.23,0.0081,0.0008,10185,14613,79188,912.5
InuSpark,$SHIBALIGHT,2023-08-20,addr970,0.0023,253444,26179,172276265,259657198,5.49,0.0129,0.0065,6128,29372,43290,98.46
ShibaLight,$PEPEMOON,2022-04-22,addr463,0.0072,473450,34082,156011535,58981791,-1.13,0.0095,0.0014,11746,6063,93490,578.57
SolCheems,$MOONWAG,2023-04-10,addr141,0.0007,238775,49914,112123405,255412937,13.13,0.0094,0.0012,9056,12805,49259,683.33
SwoleDoge,$PUGINU,2023-04-10,addr751,0.0019,74039,11429,135531831,64292810,-5.66,0.0037,0.0013,9371,42185,83055,184.62
FlokiSol,$PUGINU,2023-05-20,addr504,0.0055,364307,12165,157731242,120886411,17.13,0.0064,0.0049,4938,24931,44302,30.61
PepeSol,$SHIBA,2023-03-30,addr486,0.0071,474318,25653,165143086,51795992,4.61,0.0178,0.0089,9952,19081,21240,100.0
PepeMoon,$MOONWAG,2022-12-25,addr464,0.0094,255036,49098,195163731,261528085,-7.47,0.0068,0.0069,10355,23189,79644,-1.45
